Exercise Name,Main Muscle Groups,Experience Level,Focus Type,Equipment,Description,Tutorial
Chin-Up,"Back, Biceps",Intermediate,"Strength, Compound",Pullup Bar,The Chin-Up exercise is one of the most basic and best exercises for building strength in the back and arms,"('Start off by grabbing the bar with an underhand grip, letting your body hang from the bar and keeping your arms straight as this will be your starting position.', 'Once in position, slowly pull yourself up so that your chin is higher than the bar, squeezing your back muscles and lats and hold for a count.', 'Return back to the starting position and repeat for as many reps and sets as desired.', 'Your legs should stay in line with your torso throughout this exercise.')"
Leverage Machine Iso Row,Back,Beginner,"Strength, Compound, Strength",Machine - Strength,No Description,"('Start by loading the amount of weight that you want onto the machine and then adjusting the levels of the seat so that the handles are just at chest level.', 'Grab the handles with either a grip that is comfortable for you and will target your back muscles the best.', 'Slowly pull the handles in towards your chest, retracting your shoulders back through the elbows until you feel tension on your muscles.', 'Hold for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Leverage Incline Chest Press,"Chest, Chest, Shoulders, Triceps",Beginner,"Strength, Compound, Strength",Machine - Strength,No Description,"('Start by loading the necessary amount of weight onto the leverage machine, adjusting the seat to where the handles are just above your pecs.', 'Keeping your head and chest up, press the handles forward extending through your elbows until you feel a tension in your chest.', 'Hold for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Cable Mid Chest Crossover,"Chest, Chest, Shoulders",Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by setting up two handles on two high cable pulley machine and stand in between the machines with your hands extended out gripping the handles above your body.', 'Slowly bring the handles down towards your sides as this will be your starting position.', 'Then bring the handles in together towards the front of your body, squeezing your chest and hold for a count.', 'Return the handles back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Cable V Bar Pulldown,"Back, Biceps",Beginner,"Strength, Compound, Strength",Machine - Strength,The V-Bar pull down exercise is another great exercise for helping sculpt the lats,"('Start by attaching a v-bar to a pull down pulley cable machine and sit upright with your abs drawn in tightly, grabbing onto the bar with an overhand grip.', 'Pull the bar straight down to your upper chest in a controlled manner until you feel a stretch in your lat muscles..', 'Hold for a count and then slowly return the bar to starting position.', 'Repeat for as many reps and sets as desired.')"
Smith Machine Incline Bench Press,"Chest, Shoulders, Triceps",Beginner,"Strength, Compound, Strength",Machine - Strength,The smith machine incline bench press is a great exercise to help build the pectoral muscles of the chest and great for beginners to be able to control the weights,"('Start by placing an incline bench at a 45-degree angle in the middle of a smith machine, then lie down with your back flat on the bench making sure that the bar is aligned across the upper portion of your chest.', 'Grab onto the bar with a shoulder-width grip, unlock it and slowly lower it down towards your chest until you feel a stretch in your pectoral muscles.', 'Hold this position for a count then return back up to the start.', 'Repeat for as many reps and sets as desired.', 'Refrain from bouncing the bar off your chest.')"
Kettlebell Goblet Squat,"Upper Legs, Shoulders, Glutes",Beginner,"Strength, Compound",Kettlebell,No Description,"('To begin this exercise; start off by holding a kettlebell clean to your chest just below your chin.', 'Then squat down holding the kettlebell in position until your hamstrings are on your calves holding on to the position for a few seconds.', 'Return back to the starting position', 'Repeat this exercise for as many repetitions as needed')"
Air Bike,Core,Beginner,"Strength, Compound",Body Only,"The ""air bike"" ab exercise, also known as bicycle crunches, is an effective way to target your abdominal muscles, especially the obliques","('Lie flat on your back on a mat', 'Simultaneously lift your upper body and twist to bring your right elbow towards your left knee while straightening your right leg', 'Exhale as you twist and crunch', 'Now, switch sides by bringing your left elbow towards your right knee while straightening your left leg', 'Exhale as you twist and crunch', 'Continue to alternate sides in a smooth, controlled manner, mimicking the motion of pedaling a bicycle')"
Dumbbell One-Arm Tricep Kickback,Triceps,Beginner,"Strength, Isolation",Dumbbell,The tricep dumbbell kickback exercise is one of the most beneficial and classic exercises for the arms and building bigger triceps,"('Start by standing alongside a flat bench, bending your right knee and placing it upon the bench, then placing your right hand on the bench for support.', 'Grab and hold a dumbbell in your left hand while placing your left foot on the floor.', 'Bend your left arm and raise it up towards your shoulder, then with a controlled kick back motion, extend your arm fully behind you until you feel a stretch in your tricep muscle.', 'Hold this position for a count, then return back to the starting position.', 'Switch arms and repeat for as many reps and sets as desired.', 'You want to make sure that you keep your elbows in close to your body throughout the entire exercise.')"
Weight Plate Russian Twist,"Core, Glutes, Back",Intermediate,"Strength, Compound",Weight Plate,No Description,"('Start off with your back on the floor and your feet under a bench or have a partner holding them.', 'Bend your knees and lift your upper body off of the floor as if you were in a final sit up position, then stick your arms out in front of your chest with your hands together.', 'When you are in place, twist your torso to the right while exhaling, holding on and squeezing your abs for a few seconds as you reach the side.', 'Move back to the starting position as you exhale, then back in the starting position, repeat the exercise in the alternate direction.', 'Repeat this exercise for as many repetitions as needed.')"
Machine Dip,"Triceps, Shoulders, Chest",Beginner,"Strength, Compound, Strength",Machine - Strength,No Description,"('To begin this exercise; start off sitting upon a dip machine and grabbing the handles. (Select the type of weight that you want to use)', 'The most important aspect of this exercise is to keep your elbows close to the inside as you focus more upon the triceps.', 'Push down upon the hands and squeeze tightly upon your triceps for a few seconds, then return back to the starting position.', 'Repeat this exercise for as many repetitions as needed.')"
Cable One-Arm Tricep Pushdown (Reverse Grip),Triceps,Beginner,"Strength, Isolation, Strength",Machine - Strength,The cable one arm tricep pushdown exercise isolates the tricep muscles individually and helps build bigger arms,"('Start off by placing a cable pulley on the highest setting and adjust a stirrup handle to the pulley.', 'Stand facing the weight stack and grasp the handle with and underhand grip.', 'Keep your back straight, your abs drawn in and your knees slightly bent.', 'Starting at the top push your arm down until it is straight, feeling the concentration and stretch in your tricep muscle.', 'Slowly return to starting position.', 'Repeat for as many reps and sets as desired.')"
Machine Tricep Extension,Triceps,Intermediate,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start off by adjusting the seat height of the machine so your upper arms and elbows lie flat on the pad.', 'With your arms fully extended grasp the handles and pull them towards your body.', 'Hold for a moment and then slowly return to the starting position.', 'Repeat for as many reps and sets as desired.')"
Cable Shoulder Extension,"Back, Triceps",Beginner,"Strength, Compound, Strength",Machine - Strength,"The cable shoulder extension exercise develops the lats, lower back and also works the tricep muscles","('Begin by taking hold of a pull down bar with a wide grip so that your hands are on the portion of the bar which curves down, keeping your body up straight and abs tightly drawn in.', 'Keeping a neutral wrist and a slight bend in your elbow, pull the bar down until it touches your upper thighs, feeling a stretch in your lats and tricep muscles. Keep the arms straight throughout.', 'Hold this position for a count then slowly bring the bar back up to the starting position.', 'Repeat for as many reps and sets as desired.')"
Smith Machine Squat,"Upper Legs, Lower Legs, Glutes",Beginner,"Strength, Compound, Strength",Machine - Strength,The smith machine squat exercise is a great overall exercise for the lower body and this is the original version of this exercise that allows for better flow of movement,"('Start by setting up the height of the barbell up to shoulder height and placing your feet slightly wider than shoulder-width apart keeping your knees and toes pointed outward.', 'Slowly descend towards the ground by bending at the knees and hips in a squatting motion.', 'Continue to lower yourself as far as you can without letting your body shift and hold for a count in the downward position.', 'Return back upright into the starting position and repeat for as many reps and sets as desired.', 'By using either a pad on the bar or a towel, you can help improve your grip and reduce any pains the bar places upon your back.', 'You can practice this exercise without any weight to allow yourself to become comfortable with the movements.')"
Decline Crunch,Core,Intermediate,"Strength, Isolation, Strength",Machine - Strength,The decline crunch exercise allows you to keep your legs steady and isolate all of the ab muscles,"('Start by lying with your back flat on a decline bench and placing your feet securely under the foot rest pads as this will be your starting position.', 'Then place your hands either across your chest or on either side of your head then lie back fully and slowly rise with your upper body, crunch your abdominals.', 'Continue forward until you feel a tightening in your ab muscles and hold for a count.', 'Return to the starting position and repeat for as many repetitions and sets as desired.', 'Use the full range of movement in this exercise for the optimal results.')"
Dumbbell Side Bend,Core,Beginner,"Strength, Isolation",Dumbbell,The dumbbell side bend exercise works the oblique muscles (which are the muscles on the sides of your abs,"('Start by standing with your feet shoulder-width apart with your knees slightly bent and abs drawn in.', 'Grab a dumbbell in one hand, stand up straight and then bend at the waist to one side of your body as far as possible.', 'Hold onto the position for a count, squeezing your abdominal muscles and the return back to the starting position.', 'Switch to the other side and repeat for as many reps and sets as desired.', 'Be careful to bend only at your waist and not at the hips or knees.')"
Weighted Pull-Up,"Back, Biceps",Intermediate,"Strength, Compound",Pullup Bar,No Description,"('Start by positioning yourself in front of a pull-up bar with a weight attached to a dip belt that is secured around your waist.', 'Grab the pull-up bar with an overhand grip and slowly pull yourself up squeezing your back muscles.', 'Hold this position for a count then return back to the start.', 'Repeat for as many reps and sets as desired.')"
Cable One-Arm Lat Pulldown,"Back, Biceps",Beginner,"Strength, Compound, Strength",Machine - Strength,No Description,"('Start by sitting on a bench in front of a low pulley cable machine with one handle attached.', 'Grab the handle with one arm in a pronated grip (palms facing out) and then pull the handle down, squeezing in your lats as you come down until you feel a tension in the muscle.', 'Hold for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Barbell Bulgarian Split Squat,"Upper Legs, Glutes",Intermediate,"Strength, Compound",Barbell,The barbell single-leg squat exercise is an advanced exercise that works on strengthening the muscles in hip and leg while improving core strength and coordination,"('Start by placing a barbell on your back above your shoulders with a wide grip.', 'Place one foot behind you resting it on a bench.', ""Slowly lower down until you're about parallel to the floor with the involved leg. "", 'Slowly return to an upright position focusing on your hip and thigh.', 'Switch legs and repeat for as many reps and sets as desired.')"
Machine Deltoid Raise,Shoulders,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by sitting on a deltoid raise machine with your feet flat on the floor in front of you, your shoulders and forearms rested underneath the padding and hands grabbing the handles in front of you.', 'Once in position slowly elevate your arms up towards the ceiling, feeling a stretch in your shoulder blades and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell One-Arm Front Raise,Shoulders,Beginner,"Strength, Compound",Dumbbell,"The Dumbbell One-Arm Front Raise is an effective exercise for targeting the anterior deltoid, which is the front part of the shoulder","('Stand with your feet shoulder-width apart, holding a dumbbell in one hand', 'Maintain a straight back and engage your core for stability', 'Keeping your arm straight, slowly lift the dumbbell directly in front of you until it is at shoulder height', 'At the top of the movement, your arm should be parallel to the floor, and the dumbbell should be at shoulder height', 'Lower the dumbbell back down in a controlled manner, returning to the starting position with your arm hanging straight down')"
Dumbbell One-Arm Preacher Curl,Biceps,Beginner,"Strength, Isolation",Dumbbell,The one-arm dumbbell preacher curl is a variation of the preacher curl exercise that uses dumbbells and single arm movements for better control of the bicep and targeting of the muscles,"('Start by taking a preacher bench and adjusting the seat so that your arm is level with the top of the bench.', 'Grab a dumbbell with an underhand (palms up) grip and rest your arm against the bench with your arm extended fully down.', 'Slowly curl the dumbbell up towards your head, keeping your arm on the bench at all times, until you reach the top position.', 'Hold for a count, squeezing and isolating your bicep, and return back to the starting position.', 'Perform this exercise in a slow controlled manner for best results.')"
Dumbbell Incline Bench Row,"Back, Biceps",Intermediate,"Strength, Compound",Dumbbell,No Description,"('Start by setting up an incline bench to around 35 or 45 degrees and laying down on it with your chest flat on the bench, holding a dumbbell in each hand extended down towards the floor.', 'Slowly pull the dumbbells up towards your chest, squeezing your back, and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Deadlift,"Back, Glutes, Upper Legs",Beginner,"Strength, Compound",Dumbbell,The dumbbell deadlift exercise works and strengthens the lower back and leg muscles,"('Start by grabbing two dumbbells with an overhand grip and stand with your feet shoulder width apart.', 'Keeping your back straight, bend at the waist, allow a slight bend in your knees.', 'Keep your back straight as you hold the dumbbells at arms length.', 'Bend over again lowering the dumbbells to just above the floor.', 'Return to starting position and repeat for as many reps and sets as desired.')"
Dumbbell Seated Side Lateral Raise,Shoulders,Beginner,"Strength, Isolation",Dumbbell,No Description,"('With a dumbbell in each hand sit on a workout bench and keep your feet on the ground.', 'Have your arms at your side and hold the dumbbells with palms facing inward. ', 'Lift each dumbbell straight out as if you are going to fly.', 'Slowly bring back down to your sides while inhaling.', 'Repeat for the desired amount of reps.')"
Barbell Decline Bench Press,"Chest, Triceps",Beginner,"Strength, Compound",Barbell,"The decline barbell bench press is an effective exercise for targeting the lower portion of the pectoral muscles, as well as the triceps and shoulders","('Load the barbell with an appropriate amount of weight for your fitness level', 'Lie down on the decline bench with your feet securely hooked under the foot pads to prevent sliding', 'Grip the barbell with your hands slightly wider than shoulder-width apart', 'With the help of a spotter if available, unrack the barbell by straightening your arms and moving the barbell over your lower chest', 'Inhale deeply and lower the barbell slowly and under control to your lower chest', 'Exhale and press the barbell back up to the starting position by fully extending your arms')"
Bench Dip,"Triceps, Chest",Intermediate,"Strength, Isolation",Bench,The bench dip exercise is one of the most basic and best workouts for building the triceps and bigger arms,"('Start by placing two benches parallel to each other 3-4 feet apart.', 'Sit on one bench and place your feet on the edge of the other bench so that your legs are suspended between the two.', 'Cross your feet for support, holding onto the bench with your hands for support and slowly lower body towards the floor by bending your elbows.', 'Pause, hold for a count and then return to starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Hammer Curl (Cross Body),Biceps,Beginner,"Strength, Isolation",Dumbbell,The cross body hammer curl exercise targets the biceps using a cross motion rather than the standard curl,"('Start by standing up straight and grabbing a dumbbell in each hand with palms facing inward.', 'While keeping your palms facing in, curl the dumbbell up towards the opposite shoulder, isolating the bicep and squeezing the muscle.', 'Continue bringing the dumbbell up to touch the shoulder until you feel a stretch in your bicep and hold for a count.', 'Return back to the starting position and repeat for as many reps and sets as desired.')"
Barbell Tricep Extension (Supine),"Triceps, Forearms",Intermediate,"Strength, Isolation",Barbell,"The barbell tricep extension, also known as the lying tricep extension or skull crusher when done in a supine position, is a great exercise for targeting the triceps","('Lie down on a flat bench with your back pressed against it', 'Lower the barbell towards your forehead by bending your elbows')"
Dumbbell Seated Tricep Press,Triceps,Beginner,"Strength, Isolation",Dumbbell,The seated triceps press exercise uses a single dumbbell held in between both hands to work the tricep muscle and build bigger arms,"('Start off by sitting on a short straight bench with your feet planted firmly on the floor, keeping your abs drawn in and grabbing a dumbbell with both hands with a palms up grip above your head.', 'Slowly lower the dumbbell in an arc motion from above your head to behind your neck, feeling a stretch in your tricep muscle.', 'Hold this position for a count and return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Machine Inner Chest Press,"Chest, Chest",Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by sitting on a chest press machine, with your feet flat in front of you, holding the handles with a neutral hammer grip and keeping your back flat up against the padding.', 'Once in position, slowly push out the handles using your arms but squeezing with your chest as the handles are extended out in front of you.', 'Squeeze and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
EZ Bar Tricep Extension,Triceps,Intermediate,"Strength, Isolation",EZ Curl Bar,The EZ bar triceps extension exercise combines a decline bench and a curved bar to effectively work the tricep muscle,"('Start by lying face up on a decline bench and grasp an EZ Bar with an overhand grip.', 'Extend your arms so they are perpendicular to your chest, keeping your elbows in one place, and lower the bar toward your head.', 'Hold the position for a count.', 'Slowly return to the starting position and repeat for as many reps and sets as desired.')"
Dumbbell Reverse Fly,"Shoulders, Back",Beginner,"Strength, Isolation",Dumbbell,No Description,"('To begin this exercise; start off lying face down on an incline bench with a dumbbell in each hand rested on the floor in front of you.', 'Then raise your arms so that they are parallel with your shoulders and hold onto this position for a few seconds. ', 'Make sure that you are squeezing both your shoulders and back throughout the motion.', 'Return back to the starting position.', 'Repeat this exercise for as many repetitions as needed')"
Machine Calf Press,Lower Legs,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by sitting down on a leg press machine, placing the balls of your feet on the bottom of the platform in front of you with a narrow width spacing and selecting the weight you would like to perform.', 'Slowly, using your calves, push against the platform so that you move backwards, feeling a stretch in your legs and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Machine Single-Leg Extension,Upper Legs,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by sitting on a leg extension machine, with both legs rested underneath the padding and your back flat on the rest behind you.', 'Slowly, while keeping your upper body still, elevate the padding up with just one of your legs, keeping the other still in the starting position.', 'Squeeze with your quads and hamstrings on the way up, going up as far as possible and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Cable Leg Kickback,"Glutes, Upper Legs",Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by setting up an ankle strap or cable onto a low pulley cable machine and attaching it to one of your ankles.', 'Stand in front of the machine and place your arms against it for support.', 'Slowly move the weighted leg backward, extending it as far as you can, feeling a stretch in your calf and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Parallel Bar Leg Raise,"Core, Upper Legs, Lower Legs",Intermediate,"Strength, Compound, Strength",Machine - Strength,No Description,"('Start by positioning yourself on parallel bars by placing your back on the padding, forearms rested upon the arm rests and grabbing the handles in front of you.', 'Keep your legs extended and together, then slowly elevate your feet up towards the ceiling, still keeping them together and straight.', 'Squeeze your lower abs as much possible on the way up and go up as far as possible, hold for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Cable One-Arm Tricep Pushdown,"Triceps, Shoulders",Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by standing in front of a cable pulley machine grasping a handle with an overhand grip.', 'Slowly extend your arm down, keeping your elbow at your side, until your forearm and hand reaches your upper thigh.', 'Squeeze with your triceps for a count, then return back up to the starting position.', 'Repeat for as many reps and sets as desired.')"
Cable One-Arm Bicep Curl,"Biceps, Forearms",Beginner,"Strength, Isolation, Strength",Machine - Strength,The cable standing one arm bicep curl exercise is a single arm version of the bicep cable curl that targets and isolates the bicep muscle,"('Start off by attaching a stirrup bar to a low cable pulley and standing on the side of the weight stack with your legs shoulder width apart and your knees slightly bent.', 'Grasp the stirrup in one hand with an underhand grip (palms facing up) and lower the stirrup to the top of your thighs.', 'Keeping your elbows still, curl the stirrup up towards your chest, squeezing and isolating the bicep muscle.', 'Slowly lower the stirrup to the starting position.', 'Repeat for as many reps and sets as desired.')"
Smith Machine Shoulder Press,"Shoulders, Triceps",Beginner,"Strength, Compound, Strength",Machine - Strength,No Description,"('To begin this exercise; start off by placing an incline bench underneath a smith machine and align the barbell at a height that you are able to reach the bar.', 'Grab onto the barbell and lift the bar off from the rack with your palms facing forward and then lower the barbell until it is level with your chin.', 'Push the barbell back to the starting position by squeezing your shoulders.', 'Repeat this exercise for as many repetitions as needed.')"
Smith Machine Bench Press,"Chest, Shoulders, Triceps",Beginner,"Strength, Compound, Strength",Machine - Strength,The smith machine bench press exercise is the same exercise as the typical bench press but it uses the smith machine to allow for greater control throughout the exercise,"('Start by placing a flat bench in the middle of a smith machine so that the bar is in line with the middle of your chest.', 'Lie down with your back flat on the bench and grab the bar with a shoulder-width grip as this will be your starting position.', 'Unlatch the bar, then slowly lower it down towards your chest until it barely touches and you feel a stretch in your muscles.', 'Hold this position for a count then return back up to the start', 'Repeat for as many reps and sets as desired.', 'The smith machine is a great tool for beginners to learn to use free weights safely and how to perform the bench press correctly.')"
Machine Back Extension,"Back, Back",Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by positioning yourself on the back extension machine with your feet rested on the platform in front of you. ', 'Hold onto the handles at your sides and keep your back flat on the padding behind you.', 'Slowly extend your back, pushing the padding backward, feeling a stretch in your lower and upper back, squeeze and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Barbell Lunge,"Upper Legs, Lower Legs, Glutes",Intermediate,"Strength, Compound",Barbell,The barbell lunge exercise is a classic leg and lower body exercise that helps strengthen leg muscles and build overall strength,"('Start off by placing a weighted barbell across your upper back, using a slightly wider shoulder-width grip, keeping your feet about 8 inches apart and toes facing forward.', 'Once in position, take a step forward (about 2 to 3 feet), making sure that you keep your abs tight and your upper body straight, and lower your back knee towards the floor as if you were kneeling.', 'As you continue down towards the floor, keep your other knee bent at a 90 degree angle while making sure that your back knee does not touch the ground.', 'Once in the final position and you feel a stretch in your muscles, hold for a count then return back to the starting position.', 'Do not put the pressure of your body on your knee during this exercise.', 'The knee you are leaning forward on should not move beyond the toe of this foot.')"
Barbell Front Squat,"Upper Legs, Lower Legs, Glutes",Intermediate,"Strength, Compound",Barbell,The barbell front squat exercise works the same muscles as the rear squat exercise without placing the weight of the bar on your shoulders and helps strengthens overall body strength,"('Start by placing the barbell on your upper chest and resting it across your front deltoids and holding it with your arms crossed securely.', 'Once in position, slowly squat down towards the floor until your upper thighs are parallel to the ground and hold the position for a count.', 'Slowly return back up to the starting position and repeat for as many reps and sets as desired.', 'Practice the squat without any weight to allow yourself to become comfortable with the movements.')"
Machine Assisted Dip,Triceps,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by setting up the weight that you would like to perform for this exercise and making sure that the knee rests are in position for your body to rest upon.', 'Climb onto the machine and place your knees upon the rest, then once in position push down upon the handles at your sides to lower your body down towards the floor.', 'Squeeze with your triceps and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Weighted Tricep Dip,"Triceps, Chest, Shoulders",Intermediate,"Strength, Compound, Strength",Machine - Strength,No Description,"('Start by setting up a weighted belt around your waist with the amount of weight that you can perform for this exercise.', 'Elevate yourself off of the platform so that you are being held up by your upper body and the weight is dangling towards the floor.', 'Slowly lower yourself toward the floor, keeping your body as upright as possible.', 'Lower yourself until your elbows are at shoulder level, squeezing your triceps and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Stiff-Leg Deadlift,"Back, Glutes, Upper Legs",Intermediate,"Strength, Compound",Dumbbell,No Description,"('Start by standing up straight with your feet shoulder width apart and your arms at your sides with a dumbbell in each hand.', 'While keeping your knees still, slowly lower your upper body and the dumbbells towards the floor over your feet.', 'Keep moving your body forward until you feel a stretch in your hamstrings then hold for a count.', 'Return back to the starting position by extending through your hips until you are at the start.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Bent-Over Reverse Fly,Shoulders,Beginner,"Strength, Isolation",Dumbbell,No Description,"('Start by standing up straight with your feet shoulder-width apart and holding a dumbbell in each hand at your side.', 'Bend down so that your body is parallel with the floor and bring the weights in front of you to about knee level.', 'Slowly extend your arms up and out so that the weights are at level with your head and squeeze your shoulders.', 'Hold for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Tricep Extension (Supine),Triceps,Intermediate,"Strength, Isolation",Dumbbell,The dumbbell lying supine two arm tricps extension exercise is a lying version of the tricep kickback that strengthens and builds the tricep muscles,"('Start by lying flat on a bench with your head at one end and feet firmly on the floor at the other end.', 'Grab a dumbbell in each hand and raise them at arms length over your shoulders.', 'Lower the dumbbells in an arc bending your elbows until your forearms are touching your biceps.', 'Slowly return to the starting position.', 'Repeat for as many reps and sets as desired.')"
Stationary Bike,"Cardio, Cardio, Cardio, Cardio",Beginner,Isolation,Machine - Cardio,"The stationary bike exercise utilizes an exercise to burn calories, tone the body, strengthen the legs, increase stamina and endurance as well as balance",()
Indoor Cycling,"Cardio, Cardio, Cardio, Cardio",Beginner,Isolation,Machine - Cardio,"Indoor cycling is a form of exercise that focuses on endurance, stamina, strength, intensity, intervals and recovery",()
Step Machine,"Cardio, Cardio, Cardio, Cardio",Beginner,Isolation,Machine - Cardio,"A step machine utilizes the stair master machine or stepping machine to burn calories, tone the body, increase core and lower body strength, and improve endurance and stamina",()
Cable Upright Row,Shoulders,Beginner,"Strength, Compound, Strength",Machine - Strength,The cable upright row is an excellent exercise for targeting the shoulders and upper traps,"('Attach the straight bar or rope attachment to the low pulley of the cable machine', 'Stand facing the cable machine with your feet shoulder-width apart', 'Pull the bar straight up towards your chin, leading with your elbows', 'Lift the bar until your elbows are at or just above shoulder height', 'Slowly lower the bar back to the starting position, maintaining control of the weight throughout the movement')"
Sit-Up,Core,Beginner,"Strength, Isolation",Body Only,No Description,"('To begin this exercise; start off lying with your back flat on the floor. ', 'You can place your feet flat, keep an object above them, or have a partner hold them.', 'Bend your legs at the knees and place your hands behind your head. ', 'Then lift your upper body towards your knees, contracting your abdominals on the way up. ', 'When reaching the final position, hold and squeeze for a few seconds then return back to the starting position.', 'Repeat this exercise for as many repetitions as needed.')"
Dumbbell Walking Lunge,"Upper Legs, Glutes, Lower Legs",Intermediate,"Strength, Compound",Dumbbell,The dumbbell walking lunge exercise helps strengthen the leg and core muscles through constant motion,"('Start off by either placing a barbell across your upper back or by grasping a dumbbell in each hand.', 'Stand with your feet about 8 inches apart, toes facing forward.', 'Take a lunge forward keeping your abs drawn in and your upper body straight.', 'Slowly lower one knee down as if kneeling while keeping your other knee bent at a 90 degree angle.', 'Lower your body to just above the floor and hold for a moment before pushing off with the back foot.', 'Step through and repeat the exercise with the other leg.', 'Refrain from touching your knee to the ground.')"
Dumbbell Upright Row,"Shoulders, Core",Intermediate,"Strength, Compound",Dumbbell,"The Dumbbell Upright Row is an effective exercise for targeting the shoulders, particularly the deltoids, as well as the trapezius muscles","('Stand with your feet shoulder-width apart', 'Tighten your abdominal muscles to stabilize your torso throughout the exercise', 'Begin by lifting your elbows up and out to the sides', 'Briefly pause at the top of the movement, focusing on squeezing your shoulder and upper back muscles', 'Slowly lower the dumbbells back to the starting position in a controlled manner, keeping them close to your body')"
Dumbbell Bent-Over Raise,"Shoulders, Upper Legs",Beginner,"Strength, Isolation",Dumbbell,"The dumbbell bent-over raise, also known as the rear delt fly or reverse fly, is an excellent exercise for targeting the rear deltoid muscles and upper back","('Adjust the incline bench to a suitable angle, typically between 30 to 45 degrees', 'Bend over slowly until your forehead rests on the top of the bench for support', 'Keeping a slight bend in your elbows, slowly raise your arms out to the sides until they are parallel to the floor', 'Once your arms are parallel to the floor, pause and hold for a count, squeezing your muscles to maximize the contraction', 'Slowly lower the dumbbells back to the starting position, maintaining control and keeping a slight bend in your elbows')"
EZ Bar Decline Close Grip Skull Crusher,"Triceps, Chest, Shoulders",Intermediate,"Strength, Isolation",EZ Curl Bar,The EZ bar decline close grip skull crusher exercise combines the close grip bench press with tricep extension to target the tricep muscle and build bigger arms,"('Start by lying with your back on a flat bench and gripping a barbell with a close grip, about 8-12 inches apart.', 'Keeping your arms close to your sides lower the bar so it touches your chest.', 'Slowly return to starting position, concentrating on your triceps.', 'At the top of the exercise bend your arms down towards your head.', 'Raise the bar back up over your chest and repeat.')"
Bodyweight Squat,"Upper Legs, Core, Glutes",Beginner,"Strength, Compound",Body Only,No Description,"('Start by positioning your feet shoulder-width apart and bend at the knee, sitting back with your hips.', 'Extend your arms out in front of you with your hands clasped together and squat down until your knees are parallel with your glutes.', 'Return back to the starting position.', 'Repeat this exercise for as many repetitions as needed')"
Leverage Decline Chest Press,"Chest, Chest, Shoulders, Triceps",Beginner,"Strength, Compound, Strength",Machine - Strength,No Description,"('Start by loading the necessary amount of weight onto the leverage machine, adjusting the seat to where the handles are just beneath your pecs.', 'Keeping your head and chest up, press the handles forward extending through your elbows until you feel a tension in your chest.', 'Hold for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Barbell Stiff-Leg Deadlift,"Back, Glutes, Upper Legs",Intermediate,"Strength, Compound",Barbell,No Description,"('Start by standing up straight with your feet shoulder width apart and your arms at your sides with a weighted barbell held at thigh level.', 'While keeping your knees still, slowly lower your upper body and the barbell towards the floor over your feet.', 'Keep moving your body forward until you feel a stretch in your hamstrings then hold for a count.', 'Return back to the starting position by extending through your hips until you are at the start.', 'Repeat for as many reps and sets as desired.')"
Rowing,"Cardio, Cardio, Cardio, Cardio",Beginner,Isolation,Machine - Cardio,"Rowing is a sport that involves racing across rivers, lakes or oceans",()
